list	has_preview	trial	paragraph_id	article_id	article_title	paragraph_level	paragraph	question_id	question	a	b	c	d	correct_answer place in the a b c d ; 3=d 	answers_order	Aspan_inds	Dspan_inds
1	1	40	3	7	Autumn-born children better at sport says study	Ele	"The gap in physical prowess between children in the same class but born in different months was sometimes very wide. “For example, we found that a boy born in November can run at least 10% faster, jump 12% higher and is 15% more powerful than a child of the same age born in April. This is, potentially, a huge physical advantage,” said Sandercock. Such gaps could ultimately decide who became a top-level athlete because, as the paper says, “selection into elite sports may often depend on very small margins or differences in an individual’s physical performance”. The study, which has been published in the International Journal of Sports Medicine, found that, when scores for the three kinds of fitness were combined, those born in April were the least fit, then those in June. That could see those children excluded from school teams and becoming sporting underachievers, Sandercock said."	1	Small differences in physical performance...	Are caused by selection for an elite sports team	Have only a small impact on sport outcomes	Can have a large impact on whether a person is selected for a sports team	Are generally caused by being born in different months	2	[1 3 0 2]	"[(63, 96)]"	"[(0, 20)]"
1	1	41	4	7	Autumn-born children better at sport says study	Ele	"The findings seem to show that children born in the early months of the school year enjoy a double “autumn advantage” – they are already known to have an academic advantage and, now, they also appear to be better equipped for sport, too. The results show that something other than “the relative-age effect” – the greater maturity of those born early in the school year – is at work, especially as the fittest children were not the tallest or heaviest, he added.[a] The authors believe that autumn-born children’s greater exposure over the summer months, towards the end of pregnancy, to vitamin D – the “sunshine vitamin” linked to a range of health benefits – is the most likely explanation. “Seasonal differences in intrauterine vitamin D concentrations seem most plausible,” they say. John Steele, chief executive of the Youth Sport Trust, said the quality of a young person’s introduction to PE and sport at school can be “a major factor” in their sporting development. “Children that get a high-quality first experience, which develops their physical literacy, are those that will have greater agility, balance and coordination, and are more likely to develop an enjoyment of physical activity and excel in sport as they grow up”, he said."	2	What does Steele consider “a major factor” in the development of a child’s athletic abilities?	The quality of the physical education they receive	They enjoyment they derive from sports	The height and weight of a child	The advantages given to autumn-born children	0	[0 1 3 2]	"[(131, 206)]"	"[(18, 21)]"
1	1	42	5	7	Autumn-born children better at sport says study	Ele	"UK Sport could not say if a disproportionately high number of the 1,300 athletes across 47 sports it funds were born in November and October. Natalie Dunman, its head of performance pathways, said that, while the differences highlighted in the new findings were borne out by teenagers competing in junior-level competitions, they had disappeared by the time sportspeople were taking part in adult competitions. She said: “Looking at elite, senior athletes, there are many factors that go into making a champion and our work hasn’t uncovered anything to suggest that month of birth is one of the key ingredients.”"	0	What criticism would Natalie Dunman pose for the study?	It doesn’t control for other factors that make a champion	Nothing - she agrees that the differences shown in the study exist	It had a small sample size	It only investigated children and teenagers	3	[2 1 3 0]	"[(25, 64)]"	"[(73, 81)]"
1	1	43	1	8	Philip Pullman illegal downloading is moral squalor	Int	"Illegal downloading is a kind of “moral squalor” and theft, as much as reaching in to someone’s pocket and stealing their wallet is theft, says author Philip Pullman. In an article for Index on Censorship, Pullman, who is president of the Society of Authors, makes a robust defence of copyright laws. He is highly critical of internet users who think it is OK to download music or books without paying for them."	1	What does Pullman think about pirating?	He thinks it depends on the situation	He disapproves	He thinks it is OK to download music or books without paying for them sometimes	He strongly defends it	1	[3 0 1 2]	"[(51, 72)]"	"[(44, 48)]"
1	1	44	2	8	Philip Pullman illegal downloading is moral squalor	Int	"“The technical brilliance is so dazzling that people can’t see the moral squalor of what they’re doing,” he writes. “It is outrageous that anyone can steal an artist’s work and get away with it. It is theft, as surely as reaching into someone’s pocket and taking their wallet is theft.” His article comes after music industry leaders met British Prime Minister David Cameron in Downing Street, where the issue of web piracy was discussed. Pullman, writer of the His Dark Materials trilogy, says authors and musicians work in poverty and obscurity for years to bring their work to the level “that gives delight to their audiences and, as soon as they achieve that, the possibility of making a living from it is taken away from them”. He concludes: “The principle is simple, and unaltered by technology, science or magic: if we want to enjoy the work that someone does, we should pay for it.”"	0	Why does Pullman compare pickpocketing and piracy?	To evoke pity for the victims of piracy	To show how different they are	To convince people that piracy is a form of theft	Because you need to be good at pickpocketing to commit piracy	2	[2 3 0 1]	"[(19, 50)]"	"[(83, 93)]"
1	1	45	3	8	Philip Pullman illegal downloading is moral squalor	Adv	"Pullman is writing in the next issue of the campaign group’s magazine in a dialogue with Cathy Casserly, chief executive of Creative Commons, which offers open content licenses “that lets creators take copyright into their own hands”. Casserly argues that there is much wrong with copyright, which was created “in an analogue age”. She writes: “By default, copyright closes the door on countless ways that people can share, build upon and remix each other’s work, possibilities that were unimaginable when those laws were established.” She says artists need to think creatively about how they distribute and monetize their work, quoting the science fiction writer Cory Doctorow, who said: “My problem is not piracy, it’s obscurity.”"	0	What is Casserly’s stance on copyright law?	It prevents artists from thinking creatively	It is outdated and too strict	It successfully protects authors from having their works stolen	It is a necessary evil	1	[2 0 1 3]	"[(37, 84)]"	"[(84, 91)]"
1	1	46	4	8	Philip Pullman illegal downloading is moral squalor	Ele	"Index on Censorship agrees. The magazine’s editor, Rachael Jolley, said: “Existing copyright laws don’t work in the digital age and risk criminalizing consumers. We need new models for how artists, writers and musicians earn a living from their work.” The debate is a lively one and the scale of illegal downloading vast. Data collected by Ofcom (the independent regulator and competition authority for the UK communications industries) suggests that, between November 2012 and January 2013 in the UK, 280 million music tracks were digitally pirated, along with 52 million TV shows, 29 million films, 18 million ebooks and 7 million software or games files. Ofcom has said 18% of internet users aged over 12 admit to having recently pirated content, and 9% say they fear getting caught. Pullman writes in his article: “The ease and swiftness with which music can be acquired in the form of MP3 downloads is still astonishing to those of us who have been building up our iTunes list for some time.”"	2	Which type of digital media is pirated the least?	Software	MP3 music	TV shows 	Podcasts	0	[0 2 1 3]	"[(52, 104)]"	"[(132, 148)]"
1	1	47	5	8	Philip Pullman illegal downloading is moral squalor	Adv	"One thing to emerge from the Downing Street meeting was Cameron’s appointment of the Conservative MP Mike Weatherley to be his adviser on the subject. A spokesman for the BPI, the record industry trade body, said: “Mike Weatherley is a strong champion of copyright and the artists and creative producers it’s there to protect. We hope his influence and the prime minister’s endorsement of copyright will be brought to bear on the approach of the UK’s intellectual property office.”"	1	Who does BPI expect will drive change in copyright law?	Listeners	Only Mike Weatherly	The influence of Mike Weatherly and the prime minister	Artists and creative producers	2	[3 1 0 2]	"[(54, 79)]"	"[(45, 54)]"
1	1	48	1	9	On the Trail of the Wolf	Int	"Robert Mysłajek stops dead. Between two paw prints on a muddy mountain track, the scientist finds what he is looking for. “Droppings!” he enthuses. Wolf sightings are so rare that the sighting of their feces marks a good day, even for a seasoned tracker."	2	Spotting a wolf is the wild is considered…	Something that isn’t worth stopping for	Good luck for the upcoming year	A happy experience	An uncommon occurrence	3	[2 3 1 0]	"[(21, 44)]"	"[(0, 4)]"
1	1	49	2	9	On the Trail of the Wolf	Adv	"But it is getting easier. There are now an estimated 1,500 wolves in Poland. The number has doubled in 15 years. Wolves are – along with the brown bear, the lynx and the wolverine – Europe’s last large predator carnivores. Conservationists from Britain, Germany and the Netherlands are beating a path here to find out how the country has saved this protected species, slandered even in fairy tales."	0	How do the wolves today in Poland compare to those 15 years ago?	There are two times less	There are two times as many	"There are 1,500 more"	They are larger	1	[1 0 2 3]	"[(14, 21)]"	"[(0, 0)]"
1	1	50	3	9	On the Trail of the Wolf	Int	"The scientist, who is a familiar face on Polish television, says wolves are exceptional animals that are capable of moving up to 30km during a single hunt. “The Beskidy pack is a strong unit, eight or nine individuals. This year, we have recorded five cubs, two yearlings and two adults. “We track them using motion-activated cameras in the forest and by following their prints in the mud and snow. In each family group, only one pair reproduces, once a year. All pack members care for the young with solidarity and devotion.”"	1	How do older wolves interact with younger wolves?	They abandon them	They watch over them with dedication	They pack them away	They follow them	1	[3 0 1 2]	"[(80, 91)]"	"[(50, 69)]"
1	1	51	4	9	On the Trail of the Wolf	Ele	"Mysłajek, the son of a shepherd, is puzzled by wolves’ bad reputation. “Why does one speak of a 'lone-wolf gunman'? Why did we have to have Little Red Riding Hood?"" He is fascinated by these aloof canines who remained in the wild 33,000 years ago when others decided on a much more comfortable existence as domestic dogs."	0	"How do fairy tales like Little Red Riding Hood affect wolves’ reputations, as implied by Myslajek?"	They inspire awe	They damage their reputations	They depict them like domestic pets	They confuse their reputations	1	[3 0 2 1]	"[(0, 30)]"	"[(34, 57)]"
1	1	52	5	9	On the Trail of the Wolf	Adv	"Wolves are not pooches. Mysłajek says only scientific arguments – the need to regenerate forests and control the wild animal population – can save Europe’s wild carnivores, especially the unpopular wolf. “Natural predators balance the ecosystem. They keep herbivores in check, thus allowing trees to grow tall for birds to nest in.” The ban on wolf hunting in the western Carpathians came into force in 1995 and nationwide in Poland in 1998. There are now resident packs in virtually all the country’s major forests. The predators coexist with humans rather than being fenced off, as they are in African safari parks."	2	Where was wolf hunting first banned?	All of Europe	Forests where there were too many birds	The Carpathian mountains	The country of Poland	2	[3 2 0 1]	"[(52, 72)]"	"[(36, 52)]"
1	1	53	6	9	On the Trail of the Wolf	Ele	"The Polish government pays compensation for livestock killed by wolves. Mysłajek advises farmers on erecting electric fences. He has helped revive the use of two deterrents that, for reasons no one quite understands, wolves find particularly scary: red bunting (hung around sheep pens) and the bark of the fluffy white Tatra Mountain Sheepdog."	1	What do wolves find scary?	Red flags	Humans	Electric fences	Mountain sheep	0	[0 3 2 1]	"[(24, 53)]"	"[(10, 17)]"
1	1	54	7	9	On the Trail of the Wolf	Int	"The survival and mobility of Poland’s wolves has been helped by the country’s belated infrastructure development. In 1989, when the communists relinquished power, Poland had only one motorway. Major road projects – requiring wildlife impact studies – began after Poland joined the European Union in 2004. The country now has one of the highest densities in the world of overhead crossings and underpasses for wild animals. Attitudes have also changed. “For many years, hunting was cultural. In 1975, there were fewer than 100 wolves in Poland. Beginning in the 1950s, hunting wolves had been encouraged by the authorities. They paid a reward for killing a wolf worth a month’s salary. It was carnage.” Mysłajek says the improvement in Polish wolves’ survival chances has been considerable but remains fragile. Packs are mobile across borders and hunting still goes on in neighboring Russia, Lithuania, Belarus, Ukraine and Slovakia. "	0	How have people’s attitude toward wolves changed?	Wolves are not safe in other countries but Poland	Hunting wolves is no longer part of their culture	There are too few wolves now	Wolves are not as vicious as they thought	1	[2 0 1 3]	"[(66, 86)]"	"[(113, 146)]"
1	1	55	8	9	On the Trail of the Wolf	Ele	"He claims Poland’s new government, elected in October 2015, is hostile to wolves. “The Environment Minister, Jan Szyszko, makes no secret of being a hunter. There are 120,000 licensed hunters in Poland and they are influential in parliament. Being a wolf advocate is not easy. “It is not as if you can argue to the politicians that wolves are a big tourist attraction. Most tourists want to see the animals but wolves stay away from humans. They have a tremendously sensitive sense of smell.”"	0	Why is it hard to support wolves in Poland’s new government?	Wolf hunters have a large influence in government	It is hard to talk to politicians	They do not think wolves are important	No one in the government likes wolves	0	[0 2 3 1]	"[(0, 45)]"	"[(45, 63)]"
1	1	56	1	10	Google Introduces its Driverless Car	Int	"Unveiling a car with a top speed of 25mph, two seats and no pedals or steering wheel might not make much of an impression at a motor show. But Google, in the US, sent a minor earthquake through the car and taxi industries as it unveiled the latest version of its driverless car. The electrically powered vehicle, which Google has begun testing around its headquarters in Mountain View, California, dispenses with all the normal controls, including foot pedals. Instead, it has a smartphone app that summons it and tells it the destination, and a single STOP button mounted between the two front-facing seats in case the occupants need to override the computer."	2	What is special about the car that Google just released?	It can override a computer	It comes in 7 different colors	It does not require a human driver	It will replace taxis for good	2	[2 3 0 1]	"[(17, 53)]"	"[(109, 112)]"
1	1	57	2	10	Google Introduces its Driverless Car	Adv	"The car, in fact, takes over all the tasks of navigation, steering, acceleration and braking. The company is building about 100 prototypes for a two-year test. The company’s co-founder, Sergey Brin, told a conference in California that the vehicle was “still in the prototype stage” but that the project was “about changing the world for people who are not well served by transportation today.” He said of the car: “You’re just sitting there; no steering wheel, no pedals. For me, it was very relaxing. About ten seconds after getting in, I forgot I was there. It reminded me of catching a chairlift by yourself – a bit of solitude I found really enjoyable.”"	2	"Of the following, who was this car intended for?"	Someone who wants to change the world	Someone who wants to feel relaxed while driving	Someone who can’t use a GPS system	Someone who finds it difficult to travel	3	[1 2 3 0]	"[(47, 64)]"	"[(78, 84)]"
1	1	58	3	10	Google Introduces its Driverless Car	Adv	"Google says that the principal aim of the project is to improve safety and that, because the car is constructed with impact-absorbing foam at the front and a plastic windscreen, “it should be far safer than any other car for pedestrians”. The cars, which have been built specially by a company (as yet unnamed) in Detroit, will be used to investigate further how best to make driverless vehicles work. Google will run a pilot programme using the cars, which are not yet for sale."	1	What will Google now do with the built cars?	Race them against each other	Test pilot the cars	Add foam at the front	Sell the cars	1	[3 0 2 1]	"[(69, 84)]"	"[(19, 26)]"
1	1	59	4	10	Google Introduces its Driverless Car	Ele	"One challenge is creating high-definition scans of the roads and surroundings before the cars can drive along them because they cannot gather and process enough information in real time. So far, there are high-detail maps of about 2,000 miles of California’s roads, but the state has more than 170,000 miles of public roads. Google says it is interested in licensing the technology to traditional vehicle manufacturers once it has refined it sufficiently. Members of the team had been working on the project even before joining Google, for more than a decade."	1	When will Google allow other car companies to use their technology?	When other companies have improved	When the maps have become better	When the cars can drive	When people trust them more	1	[1 0 2 3]	"[(53, 72)]"	"[(11, 18)]"
1	1	60	5	10	Google Introduces its Driverless Car	Int	"But the prospect of driverless cars replacing human-driven taxis has been the cause of some alarm. “If you get rid of the driver, then they’re unemployed,” said Dennis Conyon, the south-east director for the UK National Taxi Association. “It would have a major impact on the labor force.” London has about 22,000 licensed black cabs and Conyon estimates that the total number of people who drive taxis for hire in the UK is about 100,000."	1	Approximately how many taxi drivers are in the UK?	An alarming amount	"78,000"	"100,000"	"22,000"	2	[2 3 0 1]	"[(48, 75)]"	"[(7, 16)]"
1	1	61	6	10	Google Introduces its Driverless Car	Adv	"However, Steve McNamara, general secretary of the 10,500-strong London Taxi Drivers’ Association, said: “You won’t get these driverless cars in London for 20 or 25 years. Maybe, by then, they’ll have a charge point – because there isn’t a single one in London now.” Other car makers, including Volvo, Ford and Mercedes, are working on driver-assisted vehicles, which, unlike Google’s version, do not dispense with the driver controls. But Chris Urmson, director of the self-driving car project at Google, said that the new prototypes dispensed with the steering wheel and brakes because there was no guarantee that a human occupant would be able to take over in an emergency, and that it was simpler just to have an emergency stop button."	0	How do Volvo’s cars contrast with Google’s?	There is no emergency stop button	They are the same	They are the same as Ford’s.	They keep the driver controls	3	[2 3 1 0]	"[(44, 68)]"	"[(113, 121)]"
1	1	62	7	10	Google Introduces its Driverless Car	Int	"Urmson said: “The vehicles will be very basic. We want to learn from them and adapt them as quickly as possible. But they will take you where you want to go at the push of a button. And, that’s an important step towards improving road safety and transforming mobility for millions of people.” So far, the Google versions of the self-driving cars have covered 700,000 miles without an accident caused by the computer. The company points out that thousands of people die each year on the roads and that about 80% of crashes can be ascribed to human error. But, they could have some way to go to match Conyon at the National Taxi Association. Aged 79, he has been driving a taxi for 50 years and claims never to have had an accident."	0	How does the car take you to your destination?	You step on the gas pedal	Learning from human mistakes	You do nothing	You push a button	3	[1 2 3 0]	"[(21, 37)]"	"[(89, 99)]"
1	1	63	1	11	101-Year-Old Bottle Message	Ele	"Angela Erdmann never knew her grandfather. He died in 1946, six years before she was born. But, on Tuesday 8th April, 2014, she described the extraordinary moment when she received a message in a bottle, 101 years after he had lobbed it into the Baltic Sea. Thought to be the world’s oldest message in a bottle, it was presented to Erdmann by the museum that is now exhibiting it in Germany."	2	How did Angela Erdmann find the bottle?	She coincidentally went to the exhibit where it was being shown	It floated up to her while she was swimming in the Baltic Sea	A museum told her that they had it	Her grandfather mailed it to her	2	[1 2 0 3]	"[(56, 71)]"	"[(42, 46)]"
1	1	64	2	11	101-Year-Old Bottle Message	Ele	"“It was very surprising,” Erdmann, 62, said, recalling how she found out about the bottle.  “A man stood at my door and told me he had post from my grandfather. He then told me that a message in a bottle had been found and that the name that was on the card was that of my grandfather.” Her visitor was a genealogical researcher who had managed to track her down in Berlin after the letter was given to the International Maritime Museum in the northern port city of Hamburg."	2	How did the visitor know the message in the bottle was written by Angela’s grandfather?	His name was on the card	Genealogical research revealed the bottle to belong to him	Her grandfather told the museum it was his in a letter	The letter had a return address	0	[0 3 2 1]	"[(15, 57)]"	"[(73, 82)]"
1	1	65	3	11	101-Year-Old Bottle Message	Adv	"The brown beer bottle, which had been in the water for 101 years, was found in the catch of Konrad Fischer, a fisherman, who had been out in the Baltic Sea off the northern city of Kiel. Holger von Neuhoff, curator for ocean and science at the museum, said this bottled message was the oldest he had come across. “There are documents that have been found without the bottle that are older and are in the museum,” he said. “But, with the bottle and the document, this is certainly the oldest at the moment. It is in extremely good condition.”"	1	"What is special about the bottled message, according to von Neuhoff?"	It is the oldest bottled message	He has found it	It is in the best condition of all bottled messages	It gives useful information about the time period	0	[0 1 2 3]	"[(37, 59), (86, 94)]"	"[(94, 100)]"
1	1	66	4	11	101-Year-Old Bottle Message	Adv	"Researchers believe Erdmann’s grandfather, Richard Platz, threw the bottle in the sea while on a hike with a nature appreciation group in 1913. He was 20 years old at the time. Much of the postcard was indecipherable, although the address in Berlin on the front of the card was legible, as was the author’s polite request that the note be sent by the finder to his home address."	2	Where did Platz want the postcard to eventually end up?	His home	The bottom of the sea	A museum	In the hands of whoever found it	0	[0 2 3 1]	"[(52, 68)]"	"[(6, 12)]"
1	1	67	5	11	101-Year-Old Bottle Message	Ele	"“He also included two stamps from that time that were also in the bottle, so the finder would not incur a cost,” Erdmann said. “But he did not think it would take 101 years.” She said she was moved by the arrival of the message, although she had not known her grandfather because he died, at the age of 54, six years before she was born."	1	Was the arrival of the message meaningful to Erdmann?	"Yes, because it made her famous"	"Yes, because her grandfather died when she was six"	"Yes, because he included postage stamps so the finder would not have to pay for postage"	"Yes, even though she never knew her grandfather"	3	[3 1 2 0]	"[(34, 66)]"	"[(0, 22)]"
1	1	68	6	11	101-Year-Old Bottle Message	Adv	"“I knew very little about my grandfather, but I found out that he was a writer who was very open-minded, and believed in freedom and that everyone should respect each other,” she said. “He did a lot for the young and later travelled with his wife and two daughters. It was wonderful because I could see where my roots came from.”"	0	"According to the article, for whom did Erdmann’s grandfather do a lot?"	His wife	Writers	Children	Erdmann	2	[1 2 0 3]	"[(33, 49)]"	"[(12, 16)]"
1	1	69	7	11	101-Year-Old Bottle Message	Ele	"Like her grandfather, Erdmann said, she also liked culture and travelling around the world. She described herself as open-minded, too. “What he taught his two daughters, my mother taught me and I have then given to my sons,” she said. Despite her joy at receiving the bottled message, she said that she hoped others would not repeat what her grandfather had done and throw bottles with messages into the sea. “Today, the sea is so full of so many bottles and rubbish that more shouldn’t be thrown in there,“ she said."	0	What does Erdmann think about bottled messages?	She thinks people should not send more bottled messages	She thinks that sending messages by mail is more efficient	She was upset that her grandfather threw bottles and rubbish in the sea	She was happy to receive the bottled message and thinks they should be more common	0	[0 3 2 1]	"[(40, 70)]"	"[(70, 91)]"
1	1	70	8	11	101-Year-Old Bottle Message	Int	"The message and the bottle will be on display at Hamburg’s Maritime Museum until the beginning of May 2014, after which experts will attempt to decipher the rest of the text. It is not clear what will then happen to the bottle, but Erdmann hopes it will stay at the museum. “We want to make a few photos available to put with the bottle and give it a face, so visitors can see the young man who threw the bottle into the water,” she said."	0	What will happen to the bottle after the experts will finish examining the text?	It will be on display	It will stay at the Maritime Museum	We don’t know	It will be given to Erdmann	2	[2 1 0 3]	"[(31, 51)]"	"[(3, 9)]"
1	1	71	1	12	Why you should start work at 10AM	Int	"Lots of us know we are sleep-deprived but imagine if we could fix it with a fairly simple solution: getting up later. In a speech at the British Science Festival, Dr Paul Kelley, clinical research associate at the Sleep and Circadian Neuroscience Institute at Oxford University, called for schools to stagger their starting times to work with the natural biological rhythms of their students. It would improve cognitive performance, exam results and students’ health (sleep deprivation has been linked with diabetes, depression, obesity and an impaired immune system)."	1	What are some of the effects of following Dr. Kelley’s suggestion?	Better performance at school and improved health	More natural sleep rhythms	Less stress	"Increase the chance of diabetes, but decrease the chance of other diseases"	0	[0 2 3 1]	"[(64, 88)]"	"[(30, 64)]"
1	1	72	2	12	Why you should start work at 10AM	Int	"It follows a paper, published in 2014, in which he noted that, when children are around ten, their biological wake-up time is about 6.30am; at 16, this rises to 8am; and, at 18, someone you may think of as a lazy teenager actually has a natural waking hour of 9am. The conventional school starting time works for 10-year-olds but not 16- to 18-year-olds. For the older teenagers, it might be more sensible to start the school day at 11am or even later.  “A 7am alarm call for older adolescents,” Kelley and his colleagues pointed out in the paper, “is the equivalent of a 4.30am start for a teacher in their 50s.”  "	2	Why shouldn’t teenagers be considered lazy for waking up later?	They have a natural wake-up time of 9am	They take a rigorous course load at school	They woke up early when they were younger	They already wake up at 7am for school	0	[0 3 1 2]	"[(0, 50)]"	"[(82, 111)]"
1	1	73	3	12	Why you should start work at 10AM	Adv	"He says it’s not as simple as persuading teenagers to go to bed earlier. “The body’s natural rhythm is controlled by a particular kind of light,” says Kelley. “The eye doesn’t just contain rods and cones; it contains cells that then report to the suprachiasmatic nuclei in the hypothalamus.” This part of the brain controls our circadian rhythms over a 24-hour cycle. “It’s the light that controls it. It’s like saying: 'Why can’t you control your heartbeat?'”"	0	Why does Kelley say sleeping earlier not the solution?	Our eyes need rest depending on our sleep rhythms	"Light controls our rhythms, not our sleeping patterns"	Teenagers experience social pressures to sleep later	Teenagers are unable to sleep at particular levels of light	1	[2 0 3 1]	"[(0, 28)]"	"[(28, 49)]"
1	1	74	4	12	Why you should start work at 10AM	Ele	"But it isn’t just students who would benefit from a later start. Kelley says the working day should be more forgiving of our natural rhythms. Describing the average sleep loss per night for different age groups, he says: “Between 14 and 24, it’s more than two hours. For people aged between 24 and about 30 or 35, it’s about an hour and a half. That can continue up until you’re about 55 when it’s in balance again. The 10-year-old and 55-year-old wake and sleep naturally at the same time.”"	2	What is the consequence of an early day that doesn’t acknowledge natural rhythms?	Only those above age 24 get enough sleep	The duration of a night’s sleep is shortened	Working days are drastically lengthened	The quality of one’s sleep is above average	1	[1 0 2 3]	"[(25, 77)]"	"[(12, 25)]"
1	1	75	5	12	Why you should start work at 10AM	Int	"This might be why, he adds, the traditional nine to five is so ingrained; it is maintained by bosses, many of them in their mid-50s and upwards because “it is best for them”. So, should workplaces have staggered starting times, too? Should those in their 50s and above come in at 8am, while those in their 30s start at 10am and the teenage intern or apprentice be encouraged to turn up at 11am? Kelley says that synchronized hours could have “many positive consequences. The positive side of this is people’s performance, mood and health will improve. It’s very uplifting in a way because it’s a solution that will make people less ill, and happier and better at what they do.”"	2	How would staggered times benefit workplaces?	Bosses and employees would be synchronized 	Teenagers will find employment more easily	More work would get done 	Employees would receive more sick days	2	[2 3 0 1]	"[(83, 120), (0, 0)]"	"[(73, 83)]"
1	1	76	6	12	Why you should start work at 10AM	Ele	"There would probably be fewer accidents as drivers would be more alert, he says. It could spell the end of rush hour as people stagger their work and school-run times. A later start to the day for many, says Kelley, “is something that would benefit everyone, particularly families. Parents go and try to wake up teenagers who are waking up three hours too early. It creates tensions for everybody.”  So, what time does Kelley start work? “I am 67 so that means I’m back to being ten years old and I get up just after six. I wake naturally.” And, yes, he says he finds the start of his working day much easier now than he did when he was younger."	1	How would later start times affect families?	There would be less fighting	Parents wake up easier than children	There would be less problems and tension	Children wake up three hours later	2	[3 2 0 1]	"[(41, 69)]"	"[(99, 121)]"
1	1	77	1	13	Noise pollution makes us oblivious to the sound of nature	Ele	"The tranquil chorus of the natural world is in danger of being lost to today’s generation as people screen out the noises that surround them, a senior US researcher warns. Rising levels of background noise in some areas threaten to make people oblivious to the uplifting sounds of birdsong, trickling water and trees rustling in the wind, which can often be heard even in urban centres, said Kurt Fristrup, a senior scientist at the US National Park Service. The problem was exacerbated by people listening to music through their earphones instead of tuning in to the birds and other sounds of nature that can easily be drowned out by traffic, music and other noises, he said."	0	How does increasing background noise affect what people hear?	They do not hear sounds of nature	They do not hear city sounds	They do not hear uplifting sounds	They do not hear people speaking to them	0	[0 2 1 3]	"[(30, 57)]"	"[(57, 66)]"
1	1	78	2	13	Noise pollution makes us oblivious to the sound of nature	Int	"“This learned deafness is a real issue,” Fristrup told the American Association for the Advancement of Science meeting in San Jose. “We are conditioning ourselves to ignore the information coming into our ears.” “This gift that we are born with – to reach out and hear things hundreds of metres away, all these incredible sounds – is in danger of being lost through a generational amnesia,” he said. “There is a real danger, both of loss of auditory acuity, where we are exposed to noise for so long that we stop listening, but also a loss of listening habits, where we lose the ability to engage with the environment the way we were built to,” he added."	0	What does Fristrup say is the “gift that we are born with”?	Ability to understand sounds	Ability to hear from very far	Ability to ignore the information that enters our ears	Ability to sound incredible	1	[3 0 2 1]	"[(33, 66)]"	"[(21, 33)]"
1	1	79	3	13	Noise pollution makes us oblivious to the sound of nature	Adv	"For the past ten years, the US National Park Service has recorded sound levels at more than 600 sites across the US, including Yosemite in California, Yellowstone and Denali in Alaska. Not one was unaffected by some form of noise from human activity, be it over-flying aircraft, motorbikes, motorboats or tour buses. Fristrup’s team combined the sound levels recorded from national parks with similar data from urban settings to create a model of noise levels across the US.  They predict that noise pollution is growing faster than the US population and more than doubles every 30 years."	1	How has noise pollution changed over the past 30 years?	There has been no change	It is two times more	It has increased by 600	It is two times less	1	[3 0 2 1]	"[(78, 97)]"	"[(0, 22)]"
1	1	80	4	13	Noise pollution makes us oblivious to the sound of nature	Int	"“It’s not surprising people are putting on earphones or even noise cancelling headphones to try and create a quieter or more congenial environment,” he said. “As you raise background sound levels, it has the same effect on your hearing that fog would have on your vision. Instead of having this expansive experience of all the sounds around you, you are aware of only a small area around you,” he said. “Even in most of our cities, there are birds and things to appreciate in the environment, and there can be very rich natural choruses to pay attention to. And that is being lost.”"	1	What does he cite as noises we are able to appreciate even in the city?	Birds	City traffic	Fog	Laughter	0	[0 1 2 3]	"[(70, 98)]"	"[(25, 46)]"
1	1	81	5	13	Noise pollution makes us oblivious to the sound of nature	Adv	"People quickly become accustomed to changes in their environments, including rising noise levels, and, over time, Fristrup fears that we will accept far worse environmental conditions than we should and forget how much quieter the world could be. “If finding peace and quiet becomes difficult enough, many, many children will grow up without the experience and I think it’s a very real problem,” he said."	2	At what point will children grow up without “the experience”?	When they get used to the environment they are raised in	When they start using earphones	When cities become quiet all of the time	When noise pollution reaches too high of a level	3	[2 3 1 0]	"[(38, 55)]"	"[(0, 13)]"
1	1	82	6	13	Noise pollution makes us oblivious to the sound of nature	Adv	"The warning came as other scientists reported beneficial health effects from listening to natural sounds. Speaking at the same meeting, Derrick Taff, a social scientist at Pennsylvania State University, described preliminary experiments which suggest that listening to recordings from national parks, of waterfalls, birdsong and wind, helped people recover from stressful events. “We know that natural sounds are very important to people. They are some of the main reasons people visit protected areas. They want to hear the natural quiet, the birdsong, and the wind and water,” Taff said. “We may be losing this as people are listening to iPods all the time but I do believe that the public is appreciative of these sounds. My advice is to go to your protected areas and experience what you are missing.”"	1	Why do people visit protected areas?	They enjoy natural sounds	They like birds	They don’t listen to their iPods there	They enjoy the view	0	[0 1 2 3]	"[(52, 87)]"	"[(89, 103)]"
1	1	83	1	14	Why is Sweden closing its prisons?	Int	"Swedish prisons have long had a reputation around the world for being progressive. But are the country’s prisons a soft option? The head of Sweden’s prison and probation service, Nils Oberg, announced in November 2013 that four Swedish prisons are to be closed due to an “out of the ordinary” decline in prisoner numbers. Although there has been no D2>fall in crime rates, between 2011 and 2012 there was a 6% drop in Sweden’s prisoner population, now a little over 4,500. A similar decrease is expected in 2013 and 2014. Oberg admitted to being puzzled by the unexpected dip, but expressed optimism that the reason was to do with how his prisons are run. “We certainly hope that the efforts we invest in rehabilitation and preventing relapse of crime has had an impact,” he said."	1	Why does Oberg think there are fewer prisoners?	Criminals have become clever enough to not get caught	Fewer criminals reoffend due to rehabilitation practices	Rehabilitation stops people from commiting a crime for the first time	There has been a fall in crime rates	1	[3 0 1 2]	"[(90, 135)]"	[]
